DATA;TAXA
2020-07-17;65,51
2020-07-27;65,5
2020-08-10;63,2
2020-08-24;58,87
2020-09-07;55,17
2020-09-21;52,39
2020-10-05;49,13
2020-10-26;49,49
2020-11-09;50,33
2020-11-23;54,71
2020-12-07;63,61
2020-12-21;67,39
2021-01-04;67,48
2021-01-18;73,19
2021-02-01;70,26
2021-02-22;78,61
2021-03-01;83,37
2021-03-08;88,06
2021-03-15;90,3
2021-03-22;91,78
2021-03-29;91,52
2021-04-05;90,85
2021-04-12;88,7
2021-04-19;86,22
2021-04-26;83,44
2021-05-03;82,22
2021-05-10;78,33
2021-05-17;78,58
2021-05-24;83,52
2021-05-31;84,48
2021-06-07;84,11
2021-06-14;81,3
2021-06-21;77,19
2021-06-28;74,07
2021-07-05;67,33
2021-07-12;63,7
2021-07-19;60,19
2021-07-26;55,78
2021-08-02;51,52
2021-08-09;49,15
2021-08-16;45,33
2021-08-23;43,3
2021-08-30;40,85
2021-09-06;39,19
2021-09-13;37,33
2021-09-20;36,81
2021-09-27;35
2021-10-04;36,04
2021-10-11;35,19
2021-10-18;34,19
2021-10-25;33,74
2021-11-01;33,96
